"","GHC-017_output_filtered.bam","JHC-001_output_filtered.bam"
"PVP01_0115100",11,51
"PVP01_0010420",0,0
"PVP01_0921400",11,53
"PVP01_0113100",21,154
"PVP01_1222300",7,35
"PVP01_1249500",490,2887
"PVP01_0007970",0,0
"PVP01_1257700",12,25
"PVP01_0007860",0,0
"PVP01_1253200",10,16
"PVP01_0104400",188,1757
"PVP01_0205400",23,104
"PVP01_0001970",0,0
"PVP01_0008520",0,0
"PVP01_0213500",68,273
"PVP01_0907200",6,20
"PVP01_0217000",4,12
"PVP01_1434900",14,45
"PVP01_1419900",121,469
"PVP01_0517100",93,769
"PVP01_0205500",18,121
"PVP01_0905900",21,104
"PVP01_1464300",37,160
"PVP01_0000970",0,0
"PVP01_0007150",0,0
"PVP01_0822900",196,1475
"PVP01_0001850",0,0
"PVP01_0219500",0,0
"PVP01_1120300",18,42
"PVP01_0400500",0,0
"PVP01_1329700",11,42
"PVP01_0931400",1,25
"PVP01_0728600",5,30
"PVP01_1431800",11,21
"PVP01_1216400",17,68
"PVP01_1205800",59,196
"PVP01_0728400",38,129
"PVP01_0727800",36,129
"PVP01_1017700",25,85
"PVP01_1201700",43,63
"PVP01_0001150",0,0
"PVP01_1246500",10,53
"PVP01_0610600",173,1083
"PVP01_0010230",0,0
"PVP01_0010820",0,0
"PVP01_0925800",10,36
"PVP01_1307800",6,18
"PVP01_0532000",15,2
"PVP01_0707200",103,298
"PVP01_1027400",43,127
"PVP01_0621400",172,1110
"PVP01_0932300",33,132
"PVP01_1403300",33,147
"PVP01_1330800",147,589
"PVP01_0006130",0,0
"PVP01_1204200",4,42
"PVP01_1256500",176,784
"PVP01_0715500",40,190
"PVP01_1421700",1,8
"PVP01_0722400",57,185
"PVP01_1448200",88,410
"PVP01_1344100",21,161
"PVP01_0008900",0,0
"PVP01_0619200",1,10
"PVP01_1409100",111,827
"PVP01_0006160",0,0
"PVP01_0929000",1,2
"PVP01_1215700",0,9
"PVP01_0624300",21,88
"PVP01_1122600",24,97
"PVP01_MIT03200",0,8
"PVP01_0008090",0,0
"PVP01_1270900",3,14
"PVP01_0520700",0,42
"PVP01_1340900",25,175
"PVP01_0307200",25,121
"PVP01_1020500",159,1140
"PVP01_0003320",0,0
"PVP01_0319200",26,101
"PVP01_0516300",41,348
"PVP01_1219300",3,36
"PVP01_1009500",10,30
"PVP01_0813100",4,54
"PVP01_0003000",0,0
"PVP01_1243400",93,447
"PVP01_0002500",0,0
"PVP01_0512000",15,38
"PVP01_0010770",0,0
"PVP01_1429800",66,275
"PVP01_1456600",65,305
"PVP01_1245000",247,1590
"PVP01_1451200",0,12
"PVP01_0418600",0,4
"PVP01_1408000",40,128
"PVP01_1252100",22,94
"PVP01_1216900",25,126
"PVP01_0507100",29,88
"PVP01_1021500",10,200
"PVP01_1235200",70,543
"PVP01_1122400",379,1866
"PVP01_1421500",8,40
"PVP01_0808500",98,446
"PVP01_1435200",25,48
"PVP01_0000290",0,0
